标题,时间戳
关于明确烟叶税计税依据的通知,2018-12-31
农业农村部办公厅关于开展2018年度远洋渔业企业资格和远洋渔业项目年度审查工作的通知,2018-12-31
工业和信息化部 财政部关于印发国家新材料产业资源共享平台建设方案的通知,2018-12-31
关于将乘轮船离岛旅客纳入海南离岛旅客免税购物政策适用对象范围的公告,2018-12-31
关于企业职工教育经费税前扣除政策的通知,2018-12-31
工业和信息化部 国资委关于深入推进网络提速降费加快培育经济发展新动能2018专项行动的实施意见,2018-12-31
关于取消《加工贸易企业经营状况及生产能力证明》的公告,2018-12-31
农业农村部办公厅关于全面实施农技推广服务特聘计划的通知,2018-12-31
农业农村部办公厅关于公布“全国十佳农民”2018年度资助项目人选的通知,2018-12-31
关于个人所得税法修改后有关优惠政策衔接问题的通知,2018-12-31
中国银保监会办公厅关于进一步加强车险监管有关事项的通知,2018-12-31
工业和信息化部关于印发《工业互联网APP培育工程实施方案（2018-2020年）》的通知,2018-12-31
农业农村部办公厅关于开展农业重大技术协同推广计划试点的通知,2018-12-31
关于下达2019年城乡义务教育补助经费预算的通知,2018-12-31
关于下达2019年中小学幼儿园教师国家级培训计划专项资金预算的通知,2018-12-31
教育部 财政部 国家发展改革委印发《关于高等学校加快“双一流”建设的指导意见》的通知,2018-12-31
教育部 中共中央宣传部关于提高高校新闻传播人才培养能力实施卓越新闻传播人才教育培养计划2.0的意见,2018-12-31
教育部办公厅关于公布2018年度全国创新创业典型经验高校名单的通知,2018-12-31
关于印发《学生资助资金管理办法》的通知,2018-12-31
教育部办公厅关于做好2018年深化创新创业教育改革示范高校建设工作的通知,2018-12-31
教育部关于加快建设高水平本科教育全面提高人才培养能力的意见,2018-12-31
教育部关于印发《中等职业学校职业指导工作规定》的通知,2018-12-31
教育部关于印发《高等学校人工智能创新行动计划》的通知,2018-12-31
教育部关于进一步加强直属高校直属单位国库管理工作的意见,2018-12-31
教育部关于成立第二届高等学校科学研究优秀成果奖（科学技术）奖励委员会的通知,2018-12-31
教育部关于做好2019届全国普通高等学校毕业生就业创业工作的通知,2018-12-31
教育部办公厅关于2017年乡村教师生活补助实施情况的通报,2018-12-31
教育部 国家语委关于印发《中华经典诵读工程实施方案》的通知,2018-12-31
教育部 农业农村部 国家林业和草原局关于加强农科教结合实施卓越农林人才教育培养计划2.0的意见,2018-12-31
教育部办公厅关于严厉查处高等学校学位论文买卖、代写行为的通知,2018-12-31
教育部等五部门关于公布第三批国家级农村职业教育和成人教育示范县名单的通知,2018-12-31
教育部关于狠抓新时代全国高等学校本科教育工作会议精神落实的通知,2018-12-31
教育部关于印发《高等学校基础研究珠峰计划》的通知,2018-12-31
教育部关于印发《高等学校乡村振兴科技创新行动计划（2018—2022年）》的通知,2018-12-31
教育部关于批准2018年国家级教学成果奖获奖项目的决定,2018-12-31
科技部办公厅 财政部办公厅 教育部办公厅关于开展中央级高校和科研院所重大科研基础设施和大型科研仪器开放共享评价考核工作的通知,2018-12-31
教育部 中央政法委关于坚持德法兼修实施卓越法治人才教育培养计划2.0的意见,2018-12-31
关于印发《中央高校捐赠配比专项资金管理办法》的通知,2018-12-31
教育部办公厅关于公布首批“三全育人”综合改革试点单位名单的通知,2018-12-31
科技部成果与区域司 教育部科技司关于开展2017年度国家大学科技园免税审核工作的通知,2018-12-31
关于下达2019年改善普通高中学校办学条件补助资金预算的通知,2018-12-31
教育部关于印发《中等职业学校焊接技术应用专业实训教学条件建设标准》等11项职业教育教学标准的通知,2018-12-31
教育部关于印发《前沿科学中心建设方案（试行）》的通知,2018-12-31
教育部关于印发《高等学校科技成果转化和技术转移基地认定暂行办法》的通知,2018-12-31
教育部办公厅关于开展落实科技成果转化政策专项督查工作的通知,2018-12-31
教育部办公厅关于公布2018年度省部共建协同创新中心认定名单的通知,2018-12-31
教育部办公厅关于成立教育部人工智能科技创新专家组的函,2018-12-31
关于下达2019年支持地方高校改革发展资金预算的通知,2018-12-31
教育部 国家卫生健康委关于公布首批国家临床教学培训示范中心认定结果的通知,2018-12-31
教育部办公厅关于做好2018年中央财政支持中西部农村订单定向免费本科医学生招生培养工作的通知,2018-12-31
教育部关于公布2018年高等学历继续教育拟招生专业备案结果的通知,2018-12-31
教育部关于印发《高校思想政治工作专项资金管理暂行办法》的通知,2018-12-31
教育部办公厅关于公布首批“新工科”研究与实践项目的通知,2018-12-31
教育部等六部门关于实施基础学科拔尖学生培养计划2.0的意见,2018-12-31
教育部办公厅关于印发《教育课程教材改革与质量标准工作专项资金管理办法》的通知,2018-12-31
教育部 工业和信息化部 中国工程院关于加快建设发展新工科实施卓越工程师教育培养计划2.0的意见,2018-12-31
教育部办公厅关于公布第五批国家级农村职业教育和成人教育示范县创建入围名单的通知,2018-12-31
教育部办公厅关于开展人工智能助推教师队伍建设行动试点工作的通知,2018-12-31
关于下达2019年现代职业教育质量提升计划专项资金预算的通知,2018-12-31
教育部办公厅人力资源社会保障部办公厅财政部办公厅关于公布“国家中等职业教育改革发展示范学校建设计划”第三批项目学校验收结果的通知,2018-12-31
农业农村部办公厅关于公布2018年度“全国百名杰出新型职业农民”资助项目人选的通知,2018-12-31
国家发展改革委关于增加全国妇联为推进大众创业万众创新部际联席会议成员单位的通知,2018-12-31
关于2018年继续开展知识产权运营服务体系建设工作的通知,2018-12-31
科技部关于开展2017年度国家级科技企业孵化器免税审核工作的通知,2018-12-31
国家能源局关于印发2018年定点扶贫和对口支援工作要点的通知,2018-12-31
农业农村部 国家发展改革委 财政部 商务部 中国人民银行 国家税务总局 中国证券监督管理委员会 中华全国供销合作总社关于印发《农业产业化国家重点龙头企业认定和运行监测管理办法》的通知,2018-12-31
农业农村部办公厅关于做好《渔业捕捞许可管理规定》贯彻实施工作的通知,2018-12-31
国家外汇管理局关于印发《对外金融资产负债及交易统计制度》的通知,2018-12-31
印发《关于对统计领域严重失信企业及其有关人员开展联合惩戒的合作备忘录（修订版）》的通知,2018-12-31
科技部关于发布国家重点研发计划“科技冬奥”、“水资源高效开发利用”重点专项2018年度定向项目申报指南的通知,2018-12-31
国家能源局综合司关于同意试行《煤炭生产企业信用评价规范》的复函,2018-12-31
关于下达财政管理工作绩效考核奖励资金的通知,2018-12-31
工业和信息化部关于移动通信转售业务正式商用的通告,2018-12-31
关于印发《地方财政预算执行支出进度考核办法》的通知,2018-12-31
科技部 国家发展改革委关于支持新一批城市开展创新型城市建设的函,2018-12-31
国家发展改革委办公厅 工业和信息化部办公厅关于组织实施2019年新一代信息基础设施建设工程的通知,2018-12-31
文化和旅游部关于印发《全国文化市场黑名单管理办法》的通知,2018-12-31
农业农村部办公厅关于加快推进畜禽粪污资源化利用机具试验鉴定有关工作的通知,2018-12-31
关于印发《海岛及海域保护资金管理办法》的通知,2018-12-31
科技部 中宣部 中央网信办 文化和旅游部 广播电视总局关于印发《国家文化和科技融合示范基地认定管理办法（试行）》的通知,2018-12-31
国家外汇管理局关于印发《贸易信贷统计调查制度》的通知,2018-12-31
国家发展改革委关于支持优质企业直接融资 进一步增强企业债券服务实体经济能力的通知,2018-12-31
国家文物局办公室关于提供2018年度分领域基本公共服务年度报告的函,2018-12-31
农业农村部办公厅关于抓好生猪生产发展稳定市场供给的通知,2018-12-31
道路机动车辆生产企业及产品（第307批）,2018-12-31
农业农村部关于实施农村一二三产业融合发展推进行动的通知,2018-12-31
科技部办公厅 财政部办公厅关于发布中央级高校和科研院所等单位重大科研基础设施和大型科研仪器开放共享评价考核结果的通知,2018-12-31
民政部关于推进深度贫困地区民政领域脱贫攻坚工作的意见,2018-12-31
国务院关税税则委员会关于降低部分商品进口关税的公告,2018-12-31
科技部关于发布国家重点研发计划“蓝色粮仓科技创新”等重点专项2018年度项目申报指南的通知,2018-12-31
国家外汇管理局公告2018年第1号,2018-12-31
关于深入推进民航绿色发展的实施意见,2018-12-31
海关总署公告2018年第28号（关于企业报关报检资质合并有关事项的公告）,2018-12-31
科技部 海关总署关于印发《纳入国家网络管理平台的免税进口科研仪器设备开放共享管理办法（试行）》的通知,2018-12-31
海关总署公告2018年第70号（关于启动汇总征税担保数据电子传输业务的公告）,2018-12-31
海关总署公告2018年第80号（关于发布适用船舶吨税优惠税率国家（地区）清单的公告）,2018-12-31
海关总署 中国人民银行公告2018年第152号（关于实施《银行调运人民币现钞进出境证明》《黄金及黄金制品进出口准许证》联网核查的公告）,2018-12-31
海关总署第240号令（关于公布《海关总署关于修改部分规章的决定》的令）,2018-12-31
海关总署公告2018年第117号（关于原海关电子税费支付系统停止使用的公告）,2018-12-31
海关总署公告2018年第26号（关于全面取消打印出口货物报关单证明联（出口退税专用）的公告）,2018-12-31
海关总署公告2018年第119号（关于升级新版快件通关管理系统相关事宜的公告）,2018-12-31
海关总署公告2018年第176号（关于扩大汇总征税担保数据电子传输银行范围的公告）,2018-12-31
海关总署公告2018年第212号（关于2019年关税调整方案）,2018-12-31
海关总署公告2018年第215号（关于关税保证保险应用于汇总征税的公告),2018-12-31
海关总署公告2018年第173号（关于压缩国境口岸卫生许可审批时限的公告）,2018-12-31
海关总署 国家濒危物种进出口管理办公室公告2018年第49号（关于全面实行野生动植物进出口证书通关作业联网无纸化的公告）,2018-12-31
海关总署 银保监会公告2018年第155号（关于开展关税保证保险通关业务试点的公告）,2018-12-31
海关总署公告2018年第32号（关于《中华人民共和国海关企业信用管理办法》及相关配套制度实施有关事项的公告）,2018-12-31
海关总署关于调整一般贸易方式进出口工业用钻的报关方式的公告,2018-12-31
海关总署公告2018年第44号（关于调整中国—东盟自贸区项下有关商品协定税率的公告）,2018-12-31
农业农村部办公厅关于请调查小农与现代农业发展有机衔接等情况的函,2018-12-31
中央农办 农业农村部关于在全国农业农村系统开展深入学习习近平总书记“三农”思想活动的通知,2018-12-31
人力资源社会保障部办公厅关于为香港澳门台湾居民在内地（大陆）提供就业创业服务的通知,2018-12-31
关于进一步完善中央财政科技和教育资金预算执行管理有关事宜的通知,2018-12-31
工业和信息化部 交通运输部 国防科工局关于印发《智能船舶发展行动计划（2019-2021年）》的通知,2018-12-31
科技部办公厅关于开展第八批国家农业科技园区申报工作的通知,2018-12-31
商务部公告2018年第41号,2018-12-31
司法部关于印发《公职律师管理办法》《公司律师管理办法》的通知,2018-12-31
科技部关于印发《国家野外科学观测研究站管理办法》的通知,2018-12-31
农业农村部办公厅关于同意河北省开展牛羊屠宰检疫加施检疫验讫标志试点工作的函,2018-12-31
财政部 中央文明办 国家发展改革委 工业和信息化部 公安部 民政部 文化和旅游部 人民银行 市场监管总局 体育总局 国家网信办 银保监会公告2018年第105号,2018-12-31
关于对小微企业融资担保业务实施降费奖补政策的通知,2018-12-31
人力资源社会保障部办公厅关于印发《青年国际实习交流计划资助管理办法（试行）》的通知,2018-12-31
中华人民共和国财政部会计信息质量检查公告,2018-12-31
关于实施2018年重大经济科技活动知识产权评议工程示范项目的通知,2018-12-31
民政部 市场监管总局 国家发展改革委 财政部 国务院国资委关于检查行业协会商会收费情况的通知,2018-12-31
人力资源社会保障部办公厅关于印发2018年度国家职业技能标准制定修订计划的通知,2018-12-31
关于2019年蔺草及其制品出口配额招标的公告,2018-12-31
关于开展2018年电子商务进农村综合示范工作的通知,2018-12-31
科技部办公厅 中宣部文改办关于加强现有国家级文化和科技融合示范基地规范优化工作的通知,2018-12-31
关于节能 新能源车船享受车船税优惠政策的通知,2018-12-31
中国气象局关于印发《风云气象卫星数据管理办法（试行）》的通知,2018-12-31
关于调整天然气进口税收优惠政策有关问题的通知,2018-12-31
农业农村部关于加快推进品牌强农的意见,2018-12-31
关于加强新时代少数民族医药工作的若干意见,2018-12-31
工业和信息化部 国防科工局关于印发《推进船舶总装建造智能化转型行动计划（2019-2021年）》的通知,2018-12-31
科技部关于发布国家重点研发计划政府间国际科技创新合作/港澳台科技创新合作重点专项2018年度第一批项目申报指南的通知,2018-12-31
农业农村部办公厅关于做好2018年新型职业农民培育工作的通知,2018-12-31
关于2018年继续利用服务业发展专项资金开展知识产权运营服务体系建设工作的通知,2018-12-31
关于提升公共职业技能培训基础能力的指导意见,2018-12-31
关于引导对外投融资基金健康发展的意见,2018-12-31
国家中医药管理局 科技部 工业和信息化部 国家卫生健康委员会关于印发《关于加强中医医疗器械科技创新的指导意见》的通知,2018-12-31
人力资源社会保障部关于贯彻落实《国务院关于推行终身职业技能培训制度的意见》精神的通知,2018-12-31
国家工业节能技术装备推荐目录（2018）,2018-12-31
关于创业投资企业和天使投资个人有关税收政策的通知,2018-12-31
关于调整享受税收优惠政策天然气进口项目的通知,2018-12-31
人力资源社会保障部 财政部关于使用失业保险基金支持脱贫攻坚的通知,2018-12-31
关于进一步强化生态环境保护监管执法的意见,2018-12-31
国务院关税税则委员会关于降低药品进口关税的公告,2018-12-31
农业农村部办公厅关于2017年度国家农产品加工技术研发专业中心年度监测不合格单位整改的通知,2018-12-31
工业和信息化部关于印发《车联网（智能网联汽车）产业发展行动计划》的通知,2018-12-31
国家发展改革委 财政部 国家能源局关于2018年光伏发电有关事项的通知,2018-12-31
关于下达2018年度普惠金融发展专项资金预算的通知,2018-12-31
人力资源社会保障部 财政部关于进一步加大就业扶贫政策支持力度着力提高劳务组织化程度的通知,2018-12-31
民政部办公厅 财政部办公厅关于第二批中央财政支持开展居家和社区养老服务改革试点地区绩效考核结果的通报,2018-12-31
人力资源社会保障部办公厅关于进一步做好技工院校建档立卡贫困家庭学生资助工作的通知,2018-12-31
国家能源局综合司关于加强和规范电力建设工程质量监督信息报送工作的通知,2018-12-31
国务院关税税则委员会关于降低汽车整车及零部件进口关税的公告,2018-12-31
农业农村部办公厅关于印发《全国农业污染源普查方案》的通知,2018-12-31
国家中医药管理局 科技部关于印发《关于加强中医药健康服务科技创新的指导意见》,2018-12-31
工业和信息化部关于加快推进虚拟现实产业发展的指导意见,2018-12-31
国家发展改革委办公厅关于印发2019年东部城市支持西部地区人才培训计划的通知,2018-12-31
关于调整部分产品出口退税率的通知,2018-12-31
人力资源社会保障部办公厅关于报送继续阶段性降低社会保险费率政策执行情况的通知,2018-12-31
关于促进首台（套）重大技术装备示范应用的意见,2018-12-31
科技部关于发布国家重点研发计划“现代服务业共性关键技术研发及应用示范”重点专项2018年度定向项目申报指南的通知,2018-12-31
中央企业工资总额管理办法,2018-12-31
人力资源社会保障部办公厅 财政部办公厅关于2017年国家级高技能人才培训基地和国家级技能大师工作室项目单位备案的通知,2018-12-31
农业农村部办公厅关于举办第二届全国农村创业创新项目创意大赛的通知,2018-12-31
中国人民银行 中国银行保险监督管理委员会 中国证券监督管理委员会关于加强非金融企业投资金融机构监管的指导意见,2018-12-31
科技部 中央宣传部 中国科协关于举办2018年全国科技活动周的通知,2018-12-31
人力资源社会保障部关于开展2018年全国高校毕业生就业服务月活动的通知,2018-12-31
关于通过“优先权文件数字接入服务（DAS 2.0）”进行中韩外观设计优先权文件电子交换的公告（第274号）,2018-12-31
关于进一步扩大小型微利企业所得税优惠政策范围的通知,2018-12-31
国家知识产权局办公室关于印发2018年政务公开工作要点的通知,2018-12-31
关于中美优先权电子交换业务由双边渠道切换到WIPO DAS平台的公告（第279号）,2018-12-31
国家标准委关于发布《全国农村综合改革标准化试点示范项目管理办法》的公告,2018-12-31
人力资源社会保障部办公厅关于做好《港澳台居民居住证申领发放办法》贯彻实施工作的通知,2018-12-31
关于批准开展2018年农业产业强镇示范建设的通知,2018-12-31
2018年第47号公告：2017年保障性安居工程跟踪审计结果,2018-12-31
关于印发2018年度全国专利信息传播利用工作计划的通知,2018-12-31
关于延长高新技术企业和科技型中小企业亏损结转年限的通知,2018-12-31
国家林业和草原局关于进一步加强网络安全和信息化工作的意见,2018-12-31
农业农村部办公厅关于做好2018年兽医社会化服务推进工作的通知,2018-12-31
国务院关税税则委员会关于降低日用消费品进口关税的公告,2018-12-31
中华人民共和国财政部公告2018年第114号,2018-12-31
文化和旅游部办公厅关于印发《国家旅游人才培训基地管理办法》（试行）的通知,2018-12-31
关于落实《住房城乡建设部 财政部 人民银行关于改进住房公积金缴存机制进一步降低企业成本的通知》精神的通知,2018-12-31
工业和信息化部 公安部 交通运输部关于印发《智能网联汽车道路测试管理规范（试行）》的通知,2018-12-31
免征和调整部分行政事业性收费有关政策的通知,2018-12-31
国家能源局综合司关于做好光伏发电相关工作的紧急通知,2018-12-31
关于继续实施企业改制重组有关土地增值税政策的通知,2018-12-31
关于增值税期末留抵退税有关城市维护建设税教育费附加和地方教育附加政策的通知,2018-12-31
国家文物局关于公布2018年度 “互联网+中华文明”示范项目名单的通知,2018-12-31
关于做好中央企业违规经营投资责任追究报告工作有关事项的通知,2018-12-31
关于确定马鞍山等城市为国家知识产权示范城市的通知,2018-12-31
关于印发《大气污染防治资金管理办法》的通知,2018-12-31
财政部关于印发《国际化高端会计人才培养工程实施方案》的通知,2018-12-31
民政部办公厅关于发布2018年中央财政支持社会组织参与社会服务项目立项名单的通知,2018-12-31
文化和旅游部 财政部关于在文化领域推广政府和社会资本合作模式的指导意见,2018-12-31
国家外汇管理局关于融资租赁业务外汇管理有关问题的通知,2018-12-31
关于降低部分政府性基金征收标准的通知,2018-12-31
国家发展改革委办公厅关于加强城市轨道交通车辆投资项目监管有关事项的通知,2018-12-31
中国人民银行 中国银行保险监督管理委员会 中国证券监督管理委员会 国家外汇管理局关于规范金融机构资产管理业务的指导意见,2018-12-31
关于确定第五批知识产权保护规范化培育市场并启动培育工作的通知,2018-12-31
民政部 财政部 关于确定第三批中央财政支持开展居家和社区养老服务改革试点地区的通知,2018-12-31
国家市场监督管理总局办公厅关于推进企业名称自主申报改革试点工作的通知,2018-12-31
关于将三大粮食作物制种纳入中央财政农业保险保险费补贴目录有关事项的通知,2018-12-31
文化和旅游部等17部门关于印发《关于促进乡村旅游可持续发展的指导意见》的通知,2018-12-31
人力资源社会保障部办公厅 全国工商联办公厅关于联合开展“失业保险惠企政策进民企”专项宣传活动的通知,2018-12-31
文化及相关产业分类（2018）,2018-12-31
国家烟草专卖局关于印发加强免税出口和境外生产卷烟监管的规定的通知,2018-12-31
关于公布第四批全国知识产权服务品牌培育机构名单的通知,2018-12-31
关于印发《企业境外经营合规管理指引》的通知,2018-12-31
中国人民银行办公厅关于进一步完善跨境资金流动管理 支持金融市场开放有关事宜的通知,2018-12-31
国务院扶贫办综合司 国家能源局综合司财政部办公厅关于对纳入国家补助目录光伏扶贫项目有关情况核查的通知,2018-12-31
国家旅游及相关产业统计分类（2018）,2018-12-31
关于进一步加强财政投入管理深入推进“三区三州”教育脱贫攻坚的指导意见,2018-12-31
2018年第45号公告：2018年第一季度国家重大政策措施落实情况跟踪审计结果,2018-12-31
关于支持打造特色载体推动中小企业创新创业升级工作的通知,2018-12-31
工业和信息化部 国务院扶贫办关于持续加大网络精准扶贫工作力度的通知,2018-12-31
关于将服务贸易创新发展试点地区技术先进型服务企业所得税政策推广至全国实施的通知,2018-12-31
关于加快推进长江两岸造林绿化的指导意见,2018-12-31
商务部办公厅关于开展国家电子商务示范基地和2017-2018年度电子商务示范企业综合评价工作的通知,2018-12-31
关于下达2018年中央对地方资源枯竭城市转移支付的通知,2018-12-31
食品药品监管总局 中国科协关于深化落实合作框架协议加强食品药品安全科普宣传合作的通知,2018-12-31
关于组织推荐金融支持旅游扶贫重点项目的通知,2018-12-31
国家能源局关于2018年度风电建设管理有关要求的通知,2018-12-31
人力资源社会保障部办公厅关于加快推进流动人员人事档案信息化建设的指导意见,2018-12-31
自然资源部 中国工商银行关于促进海洋经济高质量发展的实施意见,2018-12-31
关于下达2018年革命老区转移支付资金的通知,2018-12-31
中国人民银行 中国银行保险监督管理委员会 中国证券监督管理委员会 国家发展改革委 财政部关于进一步深化小微企业金融服务的意见,2018-12-31
国家烟草专卖局关于烟叶产区贫困县种烟面积减少专项补贴政策的通知,2018-12-31
关于深化混合所有制改革试点若干政策的意见,2018-12-31
国防科工局关于发布国防科技工业强基工程基础研究与前沿技术项目指南(2018年)的通知,2018-12-31
关于组织实施生物医药合同研发和生产服务平台建设专项的通知,2018-12-31
关于延续动漫产业增值税政策的通知,2018-12-31
商务部 财政部 税务总局 质检总局 统计局 外汇局关于开展2018年外商投资企业年度投资经营信息联合报告的通知,2018-12-31
关于印发《新产业新业态新商业模式统计分类（2018）》的通知,2018-12-31
农业农村部办公厅关于做好2018年农机跨区作业管理和服务工作的通知,2018-12-31
国家能源局公告2018年第17号,2018-12-31
关于印发《2018年专利信息帮扶工作实施方案》的通知,2018-12-31
商务部办公厅关于做好2018年绿色循环消费有关工作的通知,2018-12-31
国家药品监督管理局办公室关于开展2018年“全国安全用药月”活动的通知,2018-12-31
农业农村部办公厅关于做好2018年农机深松整地工作的通知,2018-12-31
人力资源社会保障部 国务院国资委关于深入推进技工院校与国有企业开展校企合作的若干意见,2018-12-31
2018年第48号公告：2018年第二季度国家重大政策措施落实情况跟踪审计结果,2018-12-31
农业农村部办公厅关于开展2018年休闲渔业质量提升年活动的通知,2018-12-31
关于确定首批能力建设知识产权仲裁调解机构并启动相关工作的通知,2018-12-31
关于做好2018年重点领域化解过剩产能工作的通知,2018-12-31
国防科工局关于印发《国防科技重点实验室稳定支持科研管理暂行办法》的通知,2018-12-31
人力资源社会保障部 国务院扶贫办关于开展深度贫困地区技能扶贫行动的通知,2018-12-31
文化和旅游部关于印发《旅游市场黑名单管理办法（试行）》的通知,2018-12-31
关于开展农业产业化联合体支持政策创新试点工作的通知,2018-12-31
关于印发加强实训基地建设组合投融资支持的实施方案的通知,2018-12-31
中国气象局办公室关于印发科技成果业务准入办法（试行）的通知,2018-12-31
国家发展改革委关于做好2018年迎峰度夏期间煤电油气运保障工作的通知,2018-12-31
关于继续支持企业 事业单位改制重组有关契税政策的通知,2018-12-31
国家能源局综合司关于开展全国炼油企业普查工作的通知,2018-12-31
水利部办公厅关于公布全国优质水利高等职业院校建设单位和全国优质水利专业建设点的通知,2018-12-31
中国银行保险监督管理委员会令（2018年第5号）,2018-12-31
关于印发2018年各省（区、市）煤电超低排放和节能改造目标任务的通知,2018-12-31
关于经营者集中申报文件资料的指导意见,2018-12-31
中国气象局关于印发《中国气象局关于深化局校合作工作的意见》的通知,2018-12-31
农业农村部办公厅关于开展2018年度金融支农服务创新试点的通知,2018-12-31
两部门关于印发《知识产权相关会计信息披露规定》的通知,2018-12-31
住房城乡建设部　商务部关于废止《外商投资建设工程设计企业管理规定实施细则》的通知,2018-12-31
关于深入推进电信普遍服务试点工作的通知,2018-12-31
农业农村部 国务院扶贫办关于建立贫困户产业发展指导员制度的通知,2018-12-31
2018年第49号公告：2018年第三季度国家重大政策措施落实情况跟踪审计结果,2018-12-31
关于开展2017年度中央对地方专项转移支付绩效目标自评工作的通知,2018-12-31
工业和信息化部办公厅关于印发2018年第四批行业标准制修订计划的通知,2018-12-31
国家林业和草原局关于认定第三批国家级核桃示范基地的通知,2018-12-31
印发《关于对科研领域相关失信责任主体实施联合惩戒的合作备忘录》的通知,2018-12-31
农业农村部办公厅关于做好2018年违规渔具清理整治工作的通知,2018-12-31
农业农村部办公厅关于做好2018年国家重要农业资源台账制度建设工作的通知,2018-12-31
水利部关于印发水利扶贫行动三年（2018—2020年）实施方案的通知,2018-12-31
中国人民银行办公厅关于进一步加强反洗钱和反恐怖融资工作的通知,2018-12-31
国家能源局关于促进能源领域首台（套）重大技术装备示范应用的通知,2018-12-31
农业农村部办公厅 财政部办公厅关于批准开展2018年绿色循环优质高效特色农业促进项目建设的通知,2018-12-31
科技部办公厅关于开展2018年度科技创新政策评估工作的通知,2018-12-31
关于公布2019年小麦最低收购价格的通知,2018-12-31
中国气象局关于印发《加强气象科技创新工作行动计划（2018―2020年）》的通知,2018-12-31
住房城乡建设部 中国农业发展银行关于做好利用抵押补充贷款资金支持农村人居环境整治工作的通知,2018-12-31
关于支持原油等货物期货市场对外开放税收政策的通知,2018-12-31
国家能源局关于印发《国家能源应用技术研究及工程示范项目管理暂行办法补充规定》的通知,2018-12-31
国家林业和草原局关于进一步放活集体林经营权的意见,2018-12-31
国家邮政局关于印发《邮政行业技术研发中心认定管理暂行办法》的通知,2018-12-31
工业和信息化部办公厅关于印发《新一代人工智能产业创新重点任务揭榜工作方案》的通知,2018-12-31
农业农村部办公厅关于开展2018年全国农产品质量安全检测技术能力验证工作的通知,2018-12-31
《上市公司创业投资基金股东减持股份的特别规定》,2018-12-31
关于深化电子商务领域知识产权保护专项整治工作的通知,2018-12-31
关于印发《关于认真学习贯彻习近平生态文明思想 深入推进公共机构能源资源 节约和生态环境保护工作的重点举措》的通知,2018-12-31
农业农村部办公厅关于开展兽用抗菌药使用减量化行动试点工作的通知,2018-12-31
国家能源局综合司关于成立能源行业普法工作领导小组的通知,2018-12-31
农业农村部关于2018年第三期兽药质量监督抽检情况的通报,2018-12-31
农业农村部办公厅关于做好新型农业经营主体信息直报系统贷款贴息试点工作的通知,2018-12-31
科技部 财政部关于开展2018年度国家科技基础条件资源调查工作的通知,2018-12-31
科技部关于印发《国家科学技术秘密定密管理办法》的通知,2018-12-31
市场监管总局 国家发展改革委关于印发《服务业质量提升专项行动方案》的通知,2018-12-31
关于印发《“互联网+”知识产权保护工作方案》的通知,2018-12-31
关于印发《煤矿安全改造专项管理办法》的通知,2018-12-31
关于科技人员取得职务科技成果转化现金奖励有关个人所得税政策的通知,2018-12-31
财政部 国家文物局关于印发《国家文物保护专项资金管理办法》的通知,2018-12-31
交通运输部关于修改《公共航空运输企业经营许可规定》的决定（中华人民共和国交通运输部令2018年第16号）,2018-12-31
中国人民银行 中国银行保险监督管理委员会 中国证券监督管理委员会关于完善系统重要性金融机构监管的指导意见,2018-12-31
农业农村部办公厅 财政部办公厅 教育部办公厅 国家卫生健康委员会办公厅 民政部办公厅关于印发《农垦国有农场办社会职能改革工作2018年度考核评估指标》的通知,2018-12-31
国家发展改革委办公厅关于总结推广第二批国家新型城镇化综合试点阶段性成果的通知,2018-12-31
农业农村部关于公布第八次监测合格农业产业化国家重点龙头企业名单的通知,2018-12-31
国家邮政局办公室关于开展邮政行业技术研发中心认定工作的通知,2018-12-31
交通运输部办公厅关于印发深入推进长江经济带多式联运发展三年行动计划的通知,2018-12-31
国家能源局综合司关于梳理“十二五”以来风电、光伏发电项目信息的通知,2018-12-31
科技部办公厅关于转发《财政部 税务总局关于延续宣传文化增值税优惠政策的通知》的通知,2018-12-31
关于2018年度种子种源免税进口计划的通知,2018-12-31
关于确定2015年度国家知识产权示范企业和优势企业通过复核企业及2018年度国家知识产权示范企业和优势企业的通知,2018-12-31
关于全国市场监管动产抵押登记业务系统全国上线运行的公告,2018-12-31
农业农村部办公厅 财政部办公厅关于公布2018年畜禽粪污资源化利用项目备案情况的通知,2018-12-31
工业和信息化部办公厅 财政部办公厅关于发布2018年工业转型升级资金工作指南的通知,2018-12-31
工业和信息化部关于公布2018年度国家中小企业公共服务示范平台名单的通告,2018-12-31
农业农村部办公厅关于印发《2018年推进农业机械化全程全面发展重点技术推广行动方案》的通知,2018-12-31
中华人民共和国农业农村部公告第37号,2018-12-31
国家发展改革委 财政部关于降低部分无线电频率占用费标准等有关问题的通知,2018-12-31
工业和信息化部办公厅关于印发2018年第二批行业标准制修订和外文版项目计划的通知,2018-12-31
农业农村部办公厅 财政部办公厅关于开展国家现代农业产业园创建绩效评价和认定工作的通知,2018-12-31
农业农村部办公厅关于开展2018年质量兴农万里行活动的通知,2018-12-31
关于公示2018年知识产权分析评议服务示范机构培育名单的通知,2018-12-31
自然资源部关于调整《关于支持钢铁煤炭行业化解过剩产能实现脱困发展的意见》有关规定的通知,2018-12-31
国家铁路局关于印发贯彻中央财经委员会第一次会议和全国生态环境保护大会精神打赢蓝天保卫战的目标和措施的通知,2018-12-31
国家林业和草原局办公室关于发布2018年重点推广林业科技成果100项的通知,2018-12-31
